City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
375,Yarada,IN,80.6,mist,17.65,83.2667,Jeevan
376,Turbat,PK,77.63,scattered clouds,26.0023,63.044,Mubashar Quarters
377,Port Hedland,AU,78.8,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
378,Callaway,US,75.0,scattered clouds,30.153000000000002,-85.5699,Holiday Inn Express & Suites Panama City-Tyndall
379,Tutoia,BR,78.8,overcast clouds,-2.7619,-42.2744,Pousada Guará's
384,Jizan,SA,84.2,clear sky,17.3333,42.6667,شهدان. ابوالحجر
385,Touros,BR,80.6,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
386,Cantagallo,CO,87.12,broken clouds,7.376,-73.9196,Apartahotel Altamira
387,Alofi,NU,80.6,broken clouds,-19.0595,-169.9187,Taloa Heights
396,Kanniyakumari,IN,79.52,few clouds,8.0833,77.5667,Sparsa
397,Huntsville,US,78.8,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
398,Sumbe,AO,80.47,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
405,Santa Fe,AR,86.0,overcast clouds,-31.6333,-60.7,Conquistador Hotel
409,Howard Springs,AU,77.0,broken clouds,-12.497,131.047,buffalo beach hostel
412,Port Blair,IN,80.17,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
413,Hit,IQ,76.57,clear sky,33.6416,42.8251,صالون زيرو
420,Gretna,US,82.99,clear sky,29.9147,-90.054,La Quinta Inn by Wyndham New Orleans West Bank / Gretna
422,Ghatanji,IN,88.12,overcast clouds,20.1333,78.3167,गजानन माहराज मदील घाटजी
427,Itarema,BR,80.56,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
431,Namibe,AO,80.53,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
437,Tigre,AR,77.0,moderate rain,-34.426,-58.5796,Puerto Delta Apartamentos
440,Takoradi,GH,80.74,light rain,4.8845,-1.7554,Raybow International Hotel
442,Bitung,ID,75.2,few clouds,1.4451,125.1824,K2 Lembeh
445,Pandhana,IN,84.09,clear sky,21.7,76.2167,ठा. करण सिंह चौहान
446,Batabano,CU,82.4,scattered clouds,22.7164,-82.2881,
448,Batticaloa,LK,77.5,clear sky,7.7102,81.6924,Grand Star Guest House
454,Bom Jesus,BR,88.56,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
455,Acapulco,MX,86.0,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
457,Abu Zabad,SD,82.17,clear sky,12.35,29.25,حامد محمد نور
462,Xuddur,SO,77.07,broken clouds,4.1213,43.8894,Banjanay Hotel
463,Matara,LK,75.96,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
470,Balikpapan,ID,75.02,overcast clouds,-1.2675,116.8289,ibis Balikpapan
474,Lamu,KE,82.4,few clouds,-2.2717,40.902,Lamu House
482,Dhidhdhoo,MV,82.2,clear sky,6.8833,73.1,Dhidhoo beach
485,Hurghada,EG,75.2,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
486,Assis,BR,75.43,few clouds,-22.6617,-50.4122,Santa Rosa Palace Hotel
487,Dawei,MM,75.78,few clouds,14.0833,98.2,Hotel Dawei
489,Clovis,US,75.99,few clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
492,Imbituba,BR,75.2,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
493,Mumford,GH,81.05,moderate rain,5.2618,-0.759,Spanish Villa
498,Tuskegee,US,82.99,scattered clouds,32.424,-85.6916,Kellogg Hotel & Conference Center
507,Pyay,MM,77.04,clear sky,18.8167,95.2167,Shwe Pyi Thar
508,Ambulu,ID,75.69,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
509,Phayuha Khiri,TH,79.93,broken clouds,15.4553,100.1353,Country Lake Nature Lodge
518,Russell,US,82.4,few clouds,32.3502,-85.1999,Macs
525,Cape Coast,GH,81.61,light rain,5.1053,-1.2466,Samrit Hotel
530,Waraseoni,IN,87.42,broken clouds,21.75,80.0333,Thakre Bhavan
532,Tomatlan,MX,86.56,broken clouds,19.9333,-105.25,Norma franco
534,Chabahar,IR,77.13,clear sky,25.2919,60.643,هتل گدروشیا
536,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
542,Keti Bandar,PK,79.79,clear sky,24.1447,67.4497,Haji laloo memon house
544,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
547,Altamira,BR,79.59,overcast clouds,-3.2033,-52.2064,Requinte Hotel
548,Chapada Dos Guimaraes,BR,77.0,scattered clouds,-15.4606,-55.7497,Pousada Morro Dos Ventos
551,Gorom-Gorom,BF,88.52,broken clouds,14.4439,-0.2361,
554,Chum Phae,TH,77.45,few clouds,16.5443,102.0992,Major Grand
570,Sulangan,PH,80.62,overcast clouds,11.1373,123.7228,Maia's Beach Resort
571,Mataram,ID,77.0,broken clouds,-8.5833,116.1167,Hotel Santika Mataram
572,Luwuk,ID,77.07,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
573,Presidencia Roque Saenz Pena,AR,86.0,overcast clouds,-26.7852,-60.4388,Hotel Gualok
576,Limon,CR,81.36,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
585,Barreirinhas,BR,77.85,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
586,Sorong,ID,79.61,moderate rain,-0.8833,131.25,waigo splash hotel
590,Montecristo,CO,84.9,overcast clouds,8.2971,-74.4733,Hotel Maripaz
593,Puerto Narino,CO,86.0,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
594,Buraydah,SA,86.0,scattered clouds,26.326,43.975,فندق راحة السلام
595,Ariquemes,BR,76.15,moderate rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
596,Petatlan,MX,86.0,clear sky,17.5167,-101.2667,Hotel California Petatlán
605,Kontagora,NG,87.69,broken clouds,10.3999,5.4695,Queens Guest Inn
607,Orocue,CO,80.82,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
608,Vieques,PR,78.8,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
610,Mana,GF,76.6,overcast clouds,5.6592,-53.7767,LE SAMANA
619,Balapur,IN,88.39,broken clouds,20.6667,76.7667,Ambika Hotel & Cold drinks
621,Sabha,LY,75.9,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
