City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
79,Price,US,2021-04-06 16:50:39,39.5994,-110.8107,39.2,38,75,17.27
80,Gouyave,GD,2021-04-06 16:50:40,12.1646,-61.7296,84.2,74,20,20.71
81,Lima,PE,2021-04-06 16:50:20,-12.0432,-77.0282,75.2,69,40,5.75
82,New Norfolk,AU,2021-04-06 16:50:40,-42.7826,147.0587,55.99,77,31,2.55
83,Faya,SA,2021-04-06 16:50:41,18.3851,42.4509,71.6,43,20,11.5
84,Bluff,NZ,2021-04-06 16:50:41,-46.6,168.3333,54.0,89,100,8.01
85,Grand Gaube,MU,2021-04-06 16:50:41,-20.0064,57.6608,78.01,84,25,12.95
86,Sioux Lookout,CA,2021-04-06 16:50:42,50.1001,-91.917,42.8,56,20,6.91
87,Victoria,HK,2021-04-06 16:47:21,22.2855,114.1577,73.99,82,67,1.99
88,Port Alfred,ZA,2021-04-06 16:47:48,-33.5906,26.891,65.97,81,99,20.04
89,Udachnyy,RU,2021-04-06 16:50:42,66.4167,112.4,17.26,95,100,6.98
90,Santiago De Cao,PE,2021-04-06 16:50:43,-7.9589,-79.2392,68.0,94,90,11.5
91,Touros,BR,2021-04-06 16:50:43,-5.1989,-35.4608,87.8,58,40,10.36
92,Pecos,US,2021-04-06 16:50:44,31.4229,-103.4932,84.0,25,1,10.36
93,Nanortalik,GL,2021-04-06 16:50:44,60.1432,-45.2371,35.6,97,100,3.13
94,Georgetown,MY,2021-04-06 16:50:44,5.4112,100.3354,80.01,89,20,7.16
95,Saskylakh,RU,2021-04-06 16:50:45,71.9167,114.0833,8.33,94,100,10.69
96,Cidreira,BR,2021-04-06 16:50:45,-30.1811,-50.2056,76.48,68,63,9.95
97,Mount Isa,AU,2021-04-06 16:50:46,-20.7333,139.5,80.6,44,88,10.36
98,Sumbe,AO,2021-04-06 16:50:46,-11.2061,13.8437,82.2,83,68,7.11
99,Itarema,BR,2021-04-06 16:50:46,-2.9248,-39.9167,86.29,59,99,14.25
100,Batagay-Alyta,RU,2021-04-06 16:50:47,67.8006,130.4114,-26.28,98,18,6.08
101,Lons-Le-Saunier,FR,2021-04-06 16:50:47,46.75,5.75,39.0,87,99,3.87
102,Port Hedland,AU,2021-04-06 16:50:47,-20.3167,118.5667,73.4,78,8,8.05
103,Salym,RU,2021-04-06 16:50:48,60.0625,71.4789,32.25,97,100,12.59
104,Bredasdorp,ZA,2021-04-06 16:50:48,-34.5322,20.0403,62.6,77,100,14.97
105,Isabela,PH,2021-04-06 16:50:49,6.7085,121.9711,79.11,82,75,1.1
106,Puerto Leguizamo,CO,2021-04-06 16:50:49,-0.1934,-74.7819,77.76,87,99,3.85
107,Tasiilaq,GL,2021-04-06 16:50:49,65.6145,-37.6368,21.2,79,75,10.36
108,Esperance,AU,2021-04-06 16:50:50,-33.8667,121.9,66.2,94,90,9.22
109,Tuktoyaktuk,CA,2021-04-06 16:50:50,69.4541,-133.0374,-16.6,76,40,8.05
110,Ramanuj Ganj,IN,2021-04-06 16:50:50,23.8,83.7,78.89,12,0,4.85
111,Nouadhibou,MR,2021-04-06 16:50:51,20.931,-17.0347,75.2,60,11,16.11
112,Kathmandu,NP,2021-04-06 16:50:32,27.7167,85.3167,60.8,63,20,3.44
113,Westport,US,2021-04-06 16:50:51,41.1415,-73.3579,61.0,26,1,8.05
114,Hambantota,LK,2021-04-06 16:50:52,6.1241,81.1185,78.91,84,4,9.31
115,Mambajao,PH,2021-04-06 16:50:52,9.2504,124.7156,79.43,84,100,9.91
116,Luderitz,NA,2021-04-06 16:50:53,-26.6481,15.1594,64.22,80,0,15.66
117,Vila,PT,2021-04-06 16:50:53,42.0304,-8.1588,71.01,44,0,7.0
118,Morro Agudo,BR,2021-04-06 16:47:02,-20.7314,-48.0578,71.6,88,90,4.61
119,Sept-Iles,CA,2021-04-06 16:50:54,50.2001,-66.3821,50.0,87,75,6.91
120,Cherskiy,RU,2021-04-06 16:50:54,68.75,161.3,-28.93,100,47,1.74
121,Gornopravdinsk,RU,2021-04-06 16:50:54,60.05,69.9,32.58,97,100,12.06
122,Svetlyy,RU,2021-04-06 16:50:55,54.675,20.1347,39.99,75,40,11.18
123,Hlotse,LS,2021-04-06 16:50:55,-28.8718,28.045,60.89,68,97,6.24
124,Tautira,PF,2021-04-06 16:50:55,-17.7333,-149.15,73.4,78,75,5.75
125,Hilo,US,2021-04-06 16:48:36,19.7297,-155.09,68.0,83,90,5.75
126,Sola,VU,2021-04-06 16:50:56,-13.8833,167.55,80.76,77,64,15.7
127,Rawson,AR,2021-04-06 16:50:56,-43.3002,-65.1023,62.6,100,90,9.22
128,Santa Cruz Verapaz,GT,2021-04-06 16:50:57,15.3667,-90.4333,69.8,64,0,4.61
129,Zhenlai,CN,2021-04-06 16:50:57,45.8495,123.2973,32.31,18,0,7.34
130,Busselton,AU,2021-04-06 16:50:57,-33.65,115.3333,61.0,95,78,5.26
131,Sitangkai,PH,2021-04-06 16:50:58,4.6628,119.3928,82.45,75,39,7.61
132,Solnechnyy,RU,2021-04-06 16:50:58,50.7214,136.6319,23.97,94,98,3.98
133,Asau,RO,2021-04-06 16:50:59,46.4333,26.4,57.2,44,0,10.36
134,Carutapera,BR,2021-04-06 16:50:59,-1.195,-46.02,86.86,60,52,8.5
135,Santa Rosa,PH,2021-04-06 16:50:59,14.3122,121.1114,81.0,74,20,6.91
136,Yukamenskoye,RU,2021-04-06 16:51:00,57.8865,52.2416,28.81,93,54,6.42
137,Port-Cartier,CA,2021-04-06 16:51:00,50.0334,-66.8654,50.0,87,75,6.91
138,Berdigestyakh,RU,2021-04-06 16:51:01,62.0989,126.6992,-21.78,100,20,2.13
139,Vilyuysk,RU,2021-04-06 16:51:01,63.7553,121.6247,-11.74,95,51,4.43
140,Manta,EC,2021-04-06 16:51:01,-0.95,-80.7333,84.2,70,20,6.91
141,Leh,IN,2021-04-06 16:51:02,34.1667,77.5833,35.73,68,96,2.77
142,Tadine,NC,2021-04-06 16:51:02,-21.55,167.8833,73.71,78,89,14.09
143,Inuvik,CA,2021-04-06 16:51:03,68.3499,-133.7218,-9.4,84,100,4.61
144,Kot Addu,PK,2021-04-06 16:51:03,30.4692,70.9671,71.6,64,40,6.91
145,East London,ZA,2021-04-06 16:47:20,-33.0153,27.9116,66.2,82,20,5.75
146,Bethel,US,2021-04-06 16:51:03,41.3712,-73.414,60.01,23,1,10.36
147,Vila Velha,BR,2021-04-06 16:51:04,-20.3297,-40.2925,82.0,65,20,16.11
148,Nicoya,CR,2021-04-06 16:51:04,10.1483,-85.452,89.6,31,0,17.27
149,Lodja,CD,2021-04-06 16:51:05,-3.4833,23.4333,72.77,89,94,1.03
150,Thompson,CA,2021-04-06 16:51:05,55.7435,-97.8558,30.2,80,90,11.5
151,Qaanaaq,GL,2021-04-06 16:51:05,77.484,-69.3632,3.79,76,100,1.32
152,Sorong,ID,2021-04-06 16:51:06,-0.8833,131.25,81.9,76,94,4.72
153,Tingi,TZ,2021-04-06 16:51:06,-11.3,35.0333,63.88,95,87,3.27
154,Szedres,HU,2021-04-06 16:51:06,46.4755,18.6831,39.2,41,0,4.61
155,Cabatuan,PH,2021-04-06 16:51:07,10.8794,122.486,75.69,84,86,9.22
156,Barra Patuca,HN,2021-04-06 16:51:07,15.8,-84.2833,79.2,81,100,8.23
157,Kodiak,US,2021-04-06 16:50:43,57.79,-152.4072,30.2,64,1,6.91
158,Amambai,BR,2021-04-06 16:51:08,-23.1042,-55.2258,88.2,37,57,8.37
159,Arlit,NE,2021-04-06 16:51:08,18.7369,7.3853,97.16,3,1,4.38
160,Guerrero Negro,MX,2021-04-06 16:51:08,27.9769,-114.0611,68.86,57,95,16.28
161,Escanaba,US,2021-04-06 16:51:09,45.7453,-87.0646,63.0,72,1,10.36
162,Chapais,CA,2021-04-06 16:51:09,49.7834,-74.8492,44.6,53,1,5.75
163,Buala,SB,2021-04-06 16:51:09,-8.145,159.5921,79.03,84,100,9.33
164,Jalu,LY,2021-04-06 16:51:10,29.0331,21.5482,76.35,33,96,16.15
165,Taltal,CL,2021-04-06 16:51:10,-25.4,-70.4833,72.18,69,8,10.51
166,Kavieng,PG,2021-04-06 16:51:11,-2.5744,150.7967,81.75,74,99,6.22
167,Tatarskaya Kargala,RU,2021-04-06 16:51:11,51.9495,55.1731,41.0,81,0,13.42
168,Orlik,RU,2021-04-06 16:51:11,52.5178,99.825,18.41,87,35,1.88
169,Bundaberg,AU,2021-04-06 16:51:12,-24.85,152.35,69.8,94,40,5.75
170,Victoria Point,AU,2021-04-06 16:51:12,-27.5833,153.3,71.01,97,100,4.0
171,Mouzouras,GR,2021-04-06 16:51:13,35.5333,24.15,60.8,72,20,23.02
172,Kranjska Gora,SI,2021-04-06 16:51:13,46.4839,13.7894,39.0,44,75,5.75
173,Quatre Cocos,MU,2021-04-06 16:51:13,-20.2078,57.7625,78.8,89,75,8.05
174,Kurumkan,RU,2021-04-06 16:51:14,54.3,110.3,26.51,76,18,3.85
175,Provideniya,RU,2021-04-06 16:51:14,64.3833,-173.3,-2.18,90,32,8.5
176,Yulara,AU,2021-04-06 16:51:14,-25.2406,130.9889,68.0,40,1,8.05
177,Nikolskoye,RU,2021-04-06 16:51:15,59.7035,30.7861,37.0,64,40,8.95
178,Hobyo,SO,2021-04-06 16:51:15,5.3505,48.5268,82.65,56,21,15.73
179,Balykshi,KZ,2021-04-06 16:48:18,47.0667,51.8667,44.6,76,40,15.66
180,Rabaul,PG,2021-04-06 16:50:09,-4.1967,152.1721,80.83,76,95,4.52
181,Vanimo,PG,2021-04-06 16:51:16,-2.6741,141.3028,77.11,88,100,3.83
